analysis,gt_source,component,actor,granularity,majority_label,majority_label_macro_f1,n,n_videos,synthetic_gt_records_n
baseline_vs_surgent_human30,v3.1 structured LLM extract + tool fix synthetic GT,left_exact,left,exact,KEEP_RETRACT_LATERAL,0.1869879518072289,221,30,90
baseline_vs_surgent_human30,v3.1 structured LLM extract + tool fix synthetic GT,right_medium,right,medium,"('Hook', 'DISSECT', 'HepatocysticTriangle')",0.02622377622377622,222,30,90
baseline_vs_surgent_human30,v3.1 structured LLM extract + tool fix synthetic GT,camera_coarse,camera,coarse,change,1.0,34,30,90
baseline_vs_surgent_human30,v3.1 structured LLM extract + tool fix synthetic GT,final_score,aggregate,final,,0.4044039093436684,477,30,90
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,left_exact,left,exact,KEEP_RETRACT_LATERAL,0.11873956594323873,1258,168,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,right_medium,right,medium,"('Hook', 'DISSECT', 'HepatocysticTriangle')",0.011918441516795381,1181,168,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,camera_coarse,camera,coarse,change,1.0,221,168,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,final_score,aggregate,final,,0.37688600248667803,2660,168,481
baseline_pooled_larger65_plus_human30,v3.1 structured LLM extract + tool fix synthetic GT,left_exact,left,exact,KEEP_RETRACT_LATERAL,0.11846318036286019,1479,168,571
baseline_pooled_larger65_plus_human30,v3.1 structured LLM extract + tool fix synthetic GT,right_medium,right,medium,"('Hook', 'DISSECT', 'HepatocysticTriangle')",0.012018745655537368,1403,168,571
baseline_pooled_larger65_plus_human30,v3.1 structured LLM extract + tool fix synthetic GT,camera_coarse,camera,coarse,change,1.0,255,168,571
baseline_pooled_larger65_plus_human30,v3.1 structured LLM extract + tool fix synthetic GT,final_score,aggregate,final,,0.3768273086727992,3137,168,571
