action_code,actor,actor_role,camera_movement,changed,clip_end_frame,clip_start_frame,criterion,description,end_direction,end_frame,example_id,mind_change,rank,retraction_direction_code,start_direction,start_frame,target_context_1,target_context_2,target_structure,tool_type,triplet,video_id
,left,,,changed,2400,1950,C1,The grasper retracts the gallbladder neck from medial to lateral.,lateral,2160,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,unsatisfied->satisfied,2,retract from medial to lateral,medial,2040,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
dissect,right,,,,2400,1950,C1,"The hook dissects around the cystic artery, between cystic artery and cystic plate, and close to the gallbladder neck.",,2040,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,unsatisfied->satisfied,1,,,1950,between cystic artery and cystic plate,close to the gallbladder neck,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",00467596-8200-449c-8528-d4816ec2f6a2
dissect,right,,,,2400,1950,C1,"The hook dissects around the cystic artery, between cystic artery and cystic plate, and close to the gallbladder neck.",,2280,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,unsatisfied->satisfied,1,,,2160,between cystic artery and cystic plate,close to the gallbladder neck,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",00467596-8200-449c-8528-d4816ec2f6a2
The camera is uncertain,camera,,The camera is uncertain,,2400,1950,C1,The camera is uncertain.,,2100,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,unsatisfied->satisfied,3,,,1950,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
The camera zooms out,camera,,The camera zooms out,,2400,1950,C1,The camera zooms out.,,2400,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,unsatisfied->satisfied,3,,,2250,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
,left,,,not changed,150,0,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,150,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000000_000150,unsatisfied->satisfied,3,keep retracted lateral,lateral,0,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
dissect,right,,,,150,0,C2,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery.",,90,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000000_000150,unsatisfied->satisfied,1,,,0,between presumed cystic duct and presumed cystic artery,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",00467596-8200-449c-8528-d4816ec2f6a2
dissect,right,,,,150,0,C2,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery.",,150,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000000_000150,unsatisfied->satisfied,1,,,90,between presumed cystic duct and presumed cystic artery,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",00467596-8200-449c-8528-d4816ec2f6a2
The camera zooms out,camera,,The camera zooms out,,150,0,C2,The camera zooms out.,,150,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000000_000150,unsatisfied->satisfied,2,,,90,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
,left,,,changed,1050,450,C2,The grasper retracts the gallbladder neck from lateral to medial.,medial,780,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000450_001050,unsatisfied->satisfied,2,retract from lateral to medial,lateral,660,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
