method,variant,variant_label,model,model_name,n_prediction_videos
cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta/claude-haiku-4-5-20251001/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta,Baseline no-CVS no-desc,claude-haiku-4-5-20251001,Claude-Haiku-4.5,30
cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta/gemini-2.5-flash/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta,Baseline no-CVS no-desc,gemini-2.5-flash,Gemini-2.5-flash,30
cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta/gpt-5.4-mini/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta,Baseline no-CVS no-desc,gpt-5.4-mini,GPT-5.4-mini,30
cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta/claude-haiku-4-5-20251001/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta,Baseline no-CVS no-guideline,claude-haiku-4-5-20251001,Claude-Haiku-4.5,30
cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta/gemini-2.5-flash/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta,Baseline no-CVS no-guideline,gemini-2.5-flash,Gemini-2.5-flash,30
cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta/gpt-5.4-mini/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta,Baseline no-CVS no-guideline,gpt-5.4-mini,GPT-5.4-mini,30
cot_fixedk3_no_cvs_norecdescs_fmeta/claude-haiku-4-5-20251001/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_norecdescs_fmeta,Baseline no-CVS,claude-haiku-4-5-20251001,Claude-Haiku-4.5,65
cot_fixedk3_no_cvs_norecdescs_fmeta/gemini-2.5-flash/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_norecdescs_fmeta,Baseline no-CVS,gemini-2.5-flash,Gemini-2.5-flash,30
cot_fixedk3_no_cvs_norecdescs_fmeta/gpt-5.4-mini/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_norecdescs_fmeta,Baseline no-CVS,gpt-5.4-mini,GPT-5.4-mini,30
cot_fixedk3_norecdescs_fmeta/claude-haiku-4-5-20251001/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta,Baseline,claude-haiku-4-5-20251001,Claude-Haiku-4.5,65
cot_fixedk3_norecdescs_fmeta/gemini-2.5-flash/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta,Baseline,gemini-2.5-flash,Gemini-2.5-flash,65
cot_fixedk3_norecdescs_fmeta/gpt-5.4-mini/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta,Baseline,gpt-5.4-mini,GPT-5.4-mini,65
cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible/claude-haiku-4-5-20251001/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible,Baseline + action rules,claude-haiku-4-5-20251001,Claude-Haiku-4.5,30
cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible/gemini-2.5-flash/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible,Baseline + action rules,gemini-2.5-flash,Gemini-2.5-flash,30
cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible/gpt-5.4-mini/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible,Baseline + action rules,gpt-5.4-mini,GPT-5.4-mini,30
