analysis,gt_source,method,variant,variant_label,model,model_name,system_label,n_videos,left_exact,right_medium,camera_coarse,left_exact_n,right_medium_n,camera_coarse_n,final_score,final_score_se,n_components,synthetic_gt_records_n
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta/claude-haiku-4-5-20251001/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta,Baseline no-CVS no-desc,claude-haiku-4-5-20251001,Claude-Haiku-4.5,Claude-Haiku-4.5 / Baseline no-CVS no-desc,30,0.07022997726968846,0.008359872611464968,0.22727272727272727,221,222,34,0.1019541923846269,0.02114822298160719,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta/gemini-2.5-flash/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta,Baseline no-CVS no-desc,gemini-2.5-flash,Gemini-2.5-flash,Gemini-2.5-flash / Baseline no-CVS no-desc,30,0.06758087201125176,0.0182567690529474,0.3584905660377358,221,222,34,0.14810940236731165,0.01572337739121943,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta/gpt-5.4-mini/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_desc_norecdescs_fmeta,Baseline no-CVS no-desc,gpt-5.4-mini,GPT-5.4-mini,GPT-5.4-mini / Baseline no-CVS no-desc,30,0.024425287356321837,0.029644457153750834,0.423728813559322,221,222,34,0.15926618602313156,0.011003055043270019,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta/claude-haiku-4-5-20251001/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta,Baseline no-CVS no-guideline,claude-haiku-4-5-20251001,Claude-Haiku-4.5,Claude-Haiku-4.5 / Baseline no-CVS no-guideline,30,0.1869879518072289,0.03149824104309301,0.43333333333333335,221,222,34,0.21727317539455174,0.023994299175002835,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta/gemini-2.5-flash/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta,Baseline no-CVS no-guideline,gemini-2.5-flash,Gemini-2.5-flash,Gemini-2.5-flash / Baseline no-CVS no-guideline,30,0.1465024630541872,0.03027657735522904,0.3584905660377358,221,222,34,0.1784232021490507,0.021302956576940712,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta/gpt-5.4-mini/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_no_guideline_norecdescs_fmeta,Baseline no-CVS no-guideline,gpt-5.4-mini,GPT-5.4-mini,GPT-5.4-mini / Baseline no-CVS no-guideline,30,0.11070899567853161,0.02734714240839631,1.0,221,222,34,0.37935204602897593,0.009003902739712565,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_no_cvs_norecdescs_fmeta/claude-haiku-4-5-20251001/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_norecdescs_fmeta,Baseline no-CVS,claude-haiku-4-5-20251001,Claude-Haiku-4.5,Claude-Haiku-4.5 / Baseline no-CVS,65,0.13267651888341545,0.02586925115840355,0.4105960264900662,466,458,89,0.18971393217729507,0.009736713545613666,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_no_cvs_norecdescs_fmeta/gemini-2.5-flash/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_norecdescs_fmeta,Baseline no-CVS,gemini-2.5-flash,Gemini-2.5-flash,Gemini-2.5-flash / Baseline no-CVS,30,0.11887891670603053,0.03622470492021314,0.34615384615384615,221,222,34,0.16708582259336327,0.020375540935530397,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_no_cvs_norecdescs_fmeta/gpt-5.4-mini/cvs_act_current_simple_v1,cot_fixedk3_no_cvs_norecdescs_fmeta,Baseline no-CVS,gpt-5.4-mini,GPT-5.4-mini,GPT-5.4-mini / Baseline no-CVS,30,0.09894716507292574,0.02244852354349561,0.41379310344827586,221,222,34,0.17839626402156572,0.01747084566873528,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_norecdescs_fmeta/claude-haiku-4-5-20251001/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta,Baseline,claude-haiku-4-5-20251001,Claude-Haiku-4.5,Claude-Haiku-4.5 / Baseline,65,0.14226969292389852,0.01642990282060304,0.46060606060606063,466,458,89,0.2064352187835207,0.0063534275205770485,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_norecdescs_fmeta/gemini-2.5-flash/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta,Baseline,gemini-2.5-flash,Gemini-2.5-flash,Gemini-2.5-flash / Baseline,65,0.07037096262049003,0.027301506825244123,0.27049180327868855,466,458,89,0.12272142424147424,0.01405567958455209,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_norecdescs_fmeta/gpt-5.4-mini/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta,Baseline,gpt-5.4-mini,GPT-5.4-mini,GPT-5.4-mini / Baseline,65,0.022315977673120532,0.020658217636865626,0.3904109589041096,466,458,89,0.14446171807136524,0.008958814973830784,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible/claude-haiku-4-5-20251001/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible,Baseline + action rules,claude-haiku-4-5-20251001,Claude-Haiku-4.5,Claude-Haiku-4.5 / Baseline + action rules,30,0.1869879518072289,0.04152182642115528,0.24444444444444444,221,222,34,0.15765140755760954,0.021439940813566916,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible/gemini-2.5-flash/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible,Baseline + action rules,gemini-2.5-flash,Gemini-2.5-flash,Gemini-2.5-flash / Baseline + action rules,30,0.0750314465408805,0.02594764439819077,0.24444444444444444,221,222,34,0.11514117846117189,0.01953398273708895,3,481
baseline_only_larger_synthetic,v3.1 structured LLM extract + tool fix synthetic GT,cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible/gpt-5.4-mini/cvs_act_current_simple_v1,cot_fixedk3_norecdescs_fmeta_arecrules-conservative-visible,Baseline + action rules,gpt-5.4-mini,GPT-5.4-mini,GPT-5.4-mini / Baseline + action rules,30,0.04396503102086858,0.02499597610767788,0.10526315789473684,221,222,34,0.058074721674427766,0.01625321178517403,3,481
