sentence,vid,example_id,region,rank,cluster_id,actor_role,tool_type,action_code,target_structure,target_relation,direction,view_change,effect,effect_structure,landmark_confidence,causal_for_mind_change
The camera rotates to give a clearer view of the structures in the hepatocystic triangle.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,coarse,3,28,camera,Unknown,CAMERA_REPOSITION,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates to give a clearer view of the structures in the hepatocystic triangle.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,fine_0,3,28,camera,Unknown,CAMERA_REPOSITION,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
"The camera repositions to provide a clear, direct view of the hepatocystic triangle.",1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_001200_001950,fine_0,1,29,camera,Unknown,CAMERA_REPOSITION,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The camera rotates for a better view of the hepatocystic triangle.,1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_001200_001950,coarse,2,29,camera,Unknown,CAMERA_REPOSITION,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera pans and rotates to give a clearer view of the hepatocystic triangle region.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,coarse,4,29,camera,Unknown,CAMERA_REPOSITION,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera pans and rotates to give a clearer view of the hepatocystic triangle region.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000450_001050,coarse,4,29,camera,Unknown,CAMERA_REPOSITION,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
"The camera stabilizes from a shaky motion, providing a clearer view of the surgical field.",06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_001800_002100,coarse,3,32,camera,Unknown,CAMERA_STABILIZE,Unknown,on,unknown,none,improve_exposure,SurgicalFieldGeneral,unknown,
"The camera zooms in toward the hepatocystic triangle, improving visualization of the cleared window.",0c54c281-0d1f-4403-81ee-82fcfc3c0d76,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C2__avg__c_001950_002250,fine_0,2,4,camera,Unknown,CAMERA_ZOOM_IN,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
"The camera zooms in toward the hepatocystic triangle, improving visualization of the cleared window.",0c54c281-0d1f-4403-81ee-82fcfc3c0d76,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C3__avg__c_001950_002250,fine_0,2,4,camera,Unknown,CAMERA_ZOOM_IN,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The camera pans downward and zooms in to center the hepatocystic triangle for a clearer view.,0c54c281-0d1f-4403-81ee-82fcfc3c0d76,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C2__avg__c_001950_002250,coarse,3,33,camera,Unknown,CAMERA_ZOOM_IN,HepatocysticTriangle,unknown,inferior/downward,none,improve_exposure,HepatocysticTriangle,unknown,
The camera pans downward and zooms in to center the hepatocystic triangle for a clearer view.,0c54c281-0d1f-4403-81ee-82fcfc3c0d76,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C3__avg__c_001950_002250,coarse,3,33,camera,Unknown,CAMERA_ZOOM_IN,HepatocysticTriangle,unknown,inferior/downward,none,improve_exposure,HepatocysticTriangle,unknown,
"The camera pulls back from the hepatocystic triangle, providing a wider, more contextual view.",00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000000_000150,fine_0,1,6,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
"The camera pulls back, creating a wider view of the hepatocystic triangle.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,coarse,3,26,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
"The camera pulls back, creating a wider view of the hepatocystic triangle.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,fine_0,3,26,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
"The camera pulls back to provide a wide, contextual view of the hepatocystic triangle and gallbladder.",00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,fine_0,1,27,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The camera zooms out to give a clearer view of the structures in the hepatocystic triangle.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,coarse,1,28,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The camera zooms out and rotates to give a clearer view of the structures in the hepatocystic triangle.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_001500_001800,coarse,3,28,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera zooms out and rotates to give a clearer view of the structures in the hepatocystic triangle.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_001500_001800,fine_0,3,28,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates and zooms out to give a clearer view of the hepatocystic triangle region.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000000_000150,coarse,3,29,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates and zooms out to give a clearer view of the hepatocystic triangle region.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000000_000150,fine_0,3,29,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates and zooms out to give a clearer view of the hepatocystic triangle region.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000600_000750,coarse,3,29,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates and zooms out to give a clearer view of the hepatocystic triangle region.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000600_000750,fine_0,3,29,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates and zooms out to give a clearer view of the hepatocystic triangle region.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001050_001350,coarse,3,29,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates and zooms out to give a clearer view of the hepatocystic triangle region.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001050_001350,fine_0,3,29,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates and zooms out to give a clearer view of the hepatocystic triangle region.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001650_002250,coarse,3,29,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates and zooms out to give a clearer view of the hepatocystic triangle region.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001650_002250,fine_0,3,29,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates and zooms out to give a clearer view of the hepatocystic triangle region.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C2__avg__c_001050_001350,coarse,3,29,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera rotates and zooms out to give a clearer view of the hepatocystic triangle region.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C2__avg__c_001050_001350,fine_0,3,29,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera zooms out and rotates to create a clearer view of the hepatocystic triangle.,1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,fine_0,2,30,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera zooms out and rotates to create a clearer view of the hepatocystic triangle.,1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_001200_001950,coarse,2,30,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
The camera zooms out and rotates to create a clearer view of the hepatocystic triangle.,1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,coarse,3,30,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,unknown,rotated/new_surface_exposed,unknown,HepatocysticTriangle,unknown,
"The camera zooms out and tilts upward, providing a broader view of the hepatocystic triangle.",1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000750_001050,coarse,2,31,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,cephalad/upward,none,unknown,HepatocysticTriangle,unknown,
"The camera zooms out and tilts upward, providing a broader view of the hepatocystic triangle.",1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000750_001050,fine_0,2,31,camera,Unknown,CAMERA_ZOOM_OUT,HepatocysticTriangle,unknown,cephalad/upward,none,unknown,HepatocysticTriangle,unknown,
The camera zooms out and rotates to create a clearer view of the two tubular structures.,1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_001200_001950,fine_0,2,30,camera,Unknown,CAMERA_ZOOM_OUT,TwoTubularStructures,unknown,unknown,rotated/new_surface_exposed,unknown,TwoTubularStructures,unknown,
"The camera pulls back, providing a wider view of the dissection plane.",0a094835-5933-4f29-a184-6bfa46579272,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,coarse,3,26,camera,Unknown,CAMERA_ZOOM_OUT,Unknown,unknown,unknown,none,unknown,SurgicalFieldGeneral,unknown,
